0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y
170.984032,1062.182331,172.513255,1062.182331,171.238902,1062.182331,169.709678,1062.182331,170.474290,1062.182331,172.258385,1062.182331,171.493773,1062.182331,173.532738,1062.182331
173.277867,1062.182331,175.571703,1062.182331,174.552220,1062.182331,172.003514,1062.182331,172.513255,1062.182331,175.571703,1062.182331,174.297350,1062.182331,175.061962,1062.182331
175.826573,1062.182331,177.355797,1062.182331,177.100927,1062.182331,175.061962,1062.182331,175.571703,1062.182331,177.865539,1062.182331,177.355797,1062.182331,178.375280,1062.182331
178.630150,1062.182331,180.414245,1062.182331,179.649633,1062.182331,177.355797,1062.182331,178.120409,1062.182331,180.923986,1062.182331,179.139892,1062.182331,179.904504,1062.182331
181.178857,1062.182331,183.472692,1062.182331,181.943469,1062.182331,179.904504,1062.182331,180.414245,1062.182331,183.472692,1062.182331,182.453210,1062.182331,183.472692,1062.182331
182.708080,1062.182331,184.237304,1062.182331,183.982434,1062.182331,182.198339,1062.182331,183.727563,1062.182331,185.766528,1062.182331,184.237304,1062.182331,185.256787,1062.182331
186.531140,1062.182331,188.060364,1062.182331,187.295752,1062.182331,184.492175,1062.182331,185.256787,1062.182331,188.315234,1062.182331,187.295752,1062.182331,188.060364,1062.182331
188.060364,1062.182331,190.354199,1062.182331,189.589587,1062.182331,188.315234,1062.182331,188.060364,1062.182331,190.099329,1062.182331,189.589587,1062.182331,190.609070,1062.182331
191.628553,1062.182331,192.393164,1062.182331,191.628553,1062.182331,189.844458,1062.182331,191.118811,1062.182331,193.412647,1062.182331,191.883423,1062.182331,192.648035,1062.182331
193.412647,1062.182331,195.961353,1062.182331,194.687000,1062.182331,192.393164,1062.182331,191.628553,1062.182331,195.706483,1062.182331,194.177259,1062.182331,196.216224,1062.182331
196.471094,1062.182331,198.000318,1062.182331,197.235706,1062.182331,195.961353,1062.182331,195.706483,1062.182331,198.255189,1062.182331,197.490577,1062.182331,197.745448,1062.182331
198.510060,1062.182331,200.039283,1062.182331,200.039283,1062.182331,197.490577,1062.182331,198.510060,1062.182331,200.039283,1062.182331,199.784413,1062.182331,200.803895,1062.182331
201.313636,1062.182331,203.607472,1062.182331,202.078248,1062.182331,200.039283,1062.182331,200.039283,1062.182331,204.117213,1062.182331,201.823378,1062.182331,202.587990,1062.182331
203.862343,1062.182331,205.646437,1062.182331,204.626955,1062.182331,202.333119,1062.182331,203.862343,1062.182331,204.881825,1062.182331,205.136696,1062.182331,205.646437,1062.182331
205.391567,1062.182331,207.685402,1062.182331,206.665920,1062.182331,205.136696,1062.182331,205.391567,1062.182331,208.195143,1062.182331,206.920790,1062.182331,207.940273,1062.182331
209.214626,1062.182331,210.998720,1062.182331,209.724367,1062.182331,208.450014,1062.182331,208.195143,1062.182331,210.998720,1062.182331,209.214626,1062.182331,210.488979,1062.182331
210.488979,1062.182331,212.782815,1062.182331,212.527944,1062.182331,209.724367,1062.182331,211.253591,1062.182331,212.782815,1062.182331,212.273074,1062.182331,213.802297,1062.182331
214.057168,1062.182331,215.586392,1062.182331,214.312039,1062.182331,213.292556,1062.182331,212.782815,1062.182331,215.841262,1062.182331,214.566909,1062.182331,214.821780,1062.182331
215.841262,1062.182331,218.135098,1062.182331,217.625357,1062.182331,215.331521,1062.182331,215.841262,1062.182331,218.135098,1062.182331,217.115615,1062.182331,218.899710,1062.182331
219.154581,1062.182331,220.683804,1062.182331,219.409451,1062.182331,218.389969,1062.182331,218.389969,1062.182331,220.683804,1062.182331,219.409451,1062.182331,220.428934,1062.182331
220.938675,1062.182331,223.487381,1062.182331,221.958157,1062.182331,220.174063,1062.182331,220.938675,1062.182331,222.467899,1062.182331,223.232511,1062.182331,222.977640,1062.182331
223.742252,1062.182331,225.526346,1062.182331,225.526346,1062.182331,221.958157,1062.182331,223.487381,1062.182331,226.545829,1062.182331,223.997122,1062.182331,225.526346,1062.182331
226.545829,1062.182331,228.075053,1062.182331,226.800699,1062.182331,225.781217,1062.182331,225.271476,1062.182331,228.329923,1062.182331,227.310441,1062.182331,228.329923,1062.182331
227.820182,1062.182331,230.623759,1062.182331,229.604276,1062.182331,227.820182,1062.182331,229.094535,1062.182331,230.878629,1062.182331,229.859147,1062.182331,230.878629,1062.182331
