0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y
210.488979,1062.182331,212.527944,1062.182331,211.763332,1062.182331,212.273074,1062.182331
213.037685,1062.182331,215.076650,1062.182331,214.057168,1062.182331,214.057168,1062.182331
216.605874,1062.182331,217.370486,1062.182331,216.605874,1062.182331,216.860745,1062.182331
218.389969,1062.182331,219.664322,1062.182331,219.919192,1062.182331,218.899710,1062.182331
221.193546,1062.182331,222.213028,1062.182331,221.958157,1062.182331,222.467899,1062.182331
222.977640,1062.182331,224.761734,1062.182331,223.997122,1062.182331,223.742252,1062.182331
226.036088,1062.182331,227.820182,1062.182331,227.565311,1062.182331,227.055570,1062.182331
228.075053,1062.182331,229.094535,1062.182331,229.349406,1062.182331,230.368888,1062.182331
230.878629,1062.182331,232.407853,1062.182331,231.388371,1062.182331,230.878629,1062.182331
233.682206,1062.182331,236.230913,1062.182331,234.956560,1062.182331,234.701689,1062.182331
235.211430,1062.182331,237.505266,1062.182331,236.740654,1062.182331,236.995525,1062.182331
238.779619,1062.182331,239.034490,1062.182331,238.524748,1062.182331,239.034490,1062.182331
241.328325,1062.182331,243.112420,1062.182331,242.092937,1062.182331,241.838067,1062.182331
243.112420,1062.182331,245.661126,1062.182331,245.151385,1062.182331,244.131902,1062.182331
246.680609,1062.182331,247.445220,1062.182331,246.935479,1062.182331,247.190350,1062.182331
247.954962,1062.182331,249.993927,1062.182331,249.739056,1062.182331,249.739056,1062.182331
251.013409,1062.182331,252.797504,1062.182331,252.797504,1062.182331,252.287762,1062.182331
253.052374,1062.182331,255.601081,1062.182331,254.326727,1062.182331,254.581598,1062.182331
256.110822,1062.182331,258.149787,1062.182331,256.620563,1062.182331,256.365692,1062.182331
258.149787,1062.182331,259.679011,1062.182331,259.933881,1062.182331,259.424140,1062.182331
260.953364,1062.182331,262.992329,1062.182331,261.972846,1062.182331,261.717976,1062.182331
264.266682,1062.182331,265.031294,1062.182331,264.776423,1062.182331,264.266682,1062.182331
265.541035,1062.182331,267.325130,1062.182331,266.815388,1062.182331,267.834871,1062.182331
268.854353,1062.182331,269.618965,1062.182331,270.128706,1062.182331,269.109224,1062.182331
270.893318,1062.182331,273.442025,1062.182331,272.422542,1062.182331,271.912801,1062.182331
274.206637,1062.182331,275.226119,1062.182331,274.206637,1062.182331,274.461507,1062.182331
275.990731,1062.182331,277.265084,1062.182331,277.265084,1062.182331,277.265084,1062.182331
279.049178,1062.182331,280.323532,1062.182331,279.558920,1062.182331,280.068661,1062.182331
281.343014,1062.182331,283.381979,1062.182331,281.597885,1062.182331,281.597885,1062.182331
283.127109,1062.182331,284.911203,1062.182331,284.401462,1062.182331,284.146591,1062.182331
286.440427,1062.182331,287.205039,1062.182331,286.695297,1062.182331,286.695297,1062.182331
288.479392,1062.182331,291.028098,1062.182331,289.244004,1062.182331,289.498874,1062.182331
290.773227,1062.182331,292.047581,1062.182331,291.792710,1062.182331,292.302451,1062.182331
293.831675,1062.182331,294.596287,1062.182331,294.851158,1062.182331,293.321934,1062.182331
295.870640,1062.182331,297.399864,1062.182331,297.144993,1062.182331,296.890123,1062.182331
298.419346,1062.182331,299.693699,1062.182331,298.674217,1062.182331,299.438829,1062.182331
298.929088,1062.182331,296.125511,1062.182331,296.635252,1062.182331,296.380381,1062.182331
295.870640,1062.182331,292.812192,1062.182331,293.831675,1062.182331,294.341416,1062.182331
292.047581,1062.182331,290.518357,1062.182331,290.008616,1062.182331,290.518357,1062.182331
289.244004,1062.182331,286.950168,1062.182331,287.459909,1062.182331,287.205039,1062.182331
287.459909,1062.182331,283.636850,1062.182331,284.401462,1062.182331,284.656332,1062.182331
282.617367,1062.182331,281.343014,1062.182331,280.578402,1062.182331,281.343014,1062.182331
280.323532,1062.182331,278.029696,1062.182331,278.029696,1062.182331,278.794308,1062.182331
277.519955,1062.182331,274.461507,1062.182331,275.735860,1062.182331,275.480990,1062.182331
274.206637,1062.182331,271.912801,1062.182331,272.422542,1062.182331,273.187154,1062.182331
271.657930,1062.182331,269.109224,1062.182331,269.364095,1062.182331,269.873836,1062.182331
268.344612,1062.182331,266.305647,1062.182331,266.815388,1062.182331,266.815388,1062.182331
265.286164,1062.182331,263.247199,1062.182331,263.756941,1062.182331,264.266682,1062.182331
262.482588,1062.182331,259.933881,1062.182331,260.188752,1062.182331,261.208234,1062.182331
259.933881,1062.182331,257.130304,1062.182331,258.149787,1062.182331,257.130304,1062.182331
257.130304,1062.182331,254.071857,1062.182331,255.091339,1062.182331,254.836469,1062.182331
253.052374,1062.182331,251.523150,1062.182331,252.542633,1062.182331,252.032892,1062.182331
