0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
276.500472,407.906316,276.500472,428.527467,275.990731,442.274900,277.519955,416.816690,275.480990,427.509138
279.558920,413.507122,279.304049,433.364527,278.539437,446.093632,279.304049,422.162914,278.284567,432.091616
281.852755,420.380839,282.362497,436.164930,280.578402,447.621125,282.362497,429.800377,280.323532,438.201587
284.401462,428.018302,285.166074,439.983661,284.146591,450.930692,284.656332,433.619109,283.636850,444.311557
286.950168,431.837034,286.185556,442.784065,286.185556,451.185274,286.695297,440.238244,285.675815,449.912364
288.989133,439.219915,290.518357,446.093632,288.479392,455.004006,290.263486,445.075304,288.989133,455.767752
292.047581,443.547811,292.047581,448.639453,291.282969,455.258588,291.792710,449.912364,290.518357,463.405215
293.831675,448.894035,294.596287,451.185274,293.067063,461.113976,294.341416,455.258588,293.576804,467.223947
297.399864,451.439856,296.890123,452.712767,296.380381,461.623141,297.399864,459.586484,296.125511,473.588500
299.438829,456.531498,298.929088,457.549827,298.674217,466.460201,299.183958,467.223947,298.164476,479.698470
301.987535,459.841066,303.007018,458.568155,300.713182,471.551843,301.987535,471.551843,300.968053,485.044694
299.948570,461.113976,299.438829,462.641469,300.968053,474.861410,298.929088,472.570171,299.183958,487.845098
295.615769,453.985677,296.890123,455.004006,297.909605,469.260604,296.890123,463.150633,296.635252,479.953052
293.831675,449.657782,293.321934,453.221931,294.596287,461.368558,292.557322,457.804409,292.302451,472.824753
289.753745,444.311557,290.263486,448.894035,290.773227,461.113976,289.498874,450.930692,290.518357,465.441872
287.459909,438.710751,287.459909,445.839050,288.734262,454.240259,287.459909,444.311557,287.205039,458.822737
283.891720,433.364527,283.381979,442.529483,284.656332,453.731095,283.127109,438.710751,283.891720,451.694438
281.088144,423.435824,282.107626,437.947005,282.617367,450.421528,281.088144,431.837034,281.343014,445.075304
278.284567,417.071272,277.774825,434.637437,279.049178,447.875707,277.519955,424.454153,278.284567,436.419512
274.716378,408.415480,274.971248,427.509138,276.500472,446.348214,275.735860,416.307525,275.735860,430.054959
272.422542,400.778017,272.167671,422.162914,272.932283,442.529483,271.912801,409.688391,271.912801,422.417496
268.599483,390.340151,269.109224,414.270869,270.128706,441.001990,269.364095,402.305510,269.873836,415.798361
266.050776,385.248508,265.286164,406.887988,267.834871,433.619109,266.305647,394.158882,265.541035,407.651734
263.502070,376.592717,262.992329,398.232196,263.502070,430.054959,262.482588,386.521419,263.247199,401.032599
260.188752,371.755657,260.953364,391.867643,261.717976,421.399168,260.698493,379.647702,260.188752,393.140554
257.130304,367.682343,256.875434,382.193523,259.169269,415.798361,256.875434,372.773985,257.130304,387.030583
254.581598,363.863611,254.581598,379.393120,255.855951,408.415480,254.581598,366.918597,254.581598,378.883956
252.287762,361.063208,251.523150,372.010239,253.052374,402.560092,251.778021,360.044880,250.503668,372.010239
248.974444,355.462402,248.974444,370.228164,249.484185,394.413464,248.974444,356.989895,248.719574,365.391104
