0_x,0_y
87.386465,1.084109
85.857241,-2.225459
86.112112,-0.952548
85.092629,-1.716295
85.602371,2.357019
85.092629,-2.734623
84.837759,1.593273
84.582888,-3.243787
83.818276,-0.697966
84.328017,-4.262116
83.053664,-2.225459
83.563406,-2.734623
83.053664,-0.952548
83.053664,-0.952548
82.034182,-0.697966
81.779311,-1.716295
83.308535,-1.716295
82.289052,-1.716295
83.563406,-2.225459
83.308535,-1.970877
84.328017,-3.752951
84.328017,-2.225459
85.092629,-2.989205
85.347500,-1.716295
85.347500,-0.952548
86.621853,0.320362
85.602371,0.065780
87.386465,-1.461712
86.621853,-0.443384
87.386465,-0.697966
88.151077,-1.207130
88.151077,-0.443384
88.405948,-0.952548
88.405948,0.065780
89.935171,-2.734623
88.915689,1.338691
90.444913,-1.716295
89.935171,1.847855
90.444913,-2.480041
90.954654,-0.443384
90.954654,-2.225459
92.229007,1.084109
91.719266,-2.734623
92.483878,-0.188802
91.974136,-0.697966
93.248489,-0.952548
92.993619,1.084109
93.503360,0.065780
94.522843,1.338691
93.758231,-1.461712
95.032584,2.357019
94.777713,-1.716295
95.287455,1.593273
95.542325,-0.952548
96.816678,0.320362
96.561808,-0.697966
97.071549,0.829527
97.836161,1.338691
97.071549,1.084109
98.855643,1.084109
97.836161,0.320362
99.110514,0.320362
99.110514,0.320362
99.110514,1.084109
99.875126,2.357019
100.384867,-1.207130
100.384867,2.102437
100.384867,-1.716295
101.659220,3.120766
100.639738,-1.461712
101.914091,3.375348
101.659220,0.065780
102.933573,2.611601
102.678703,-0.697966
103.188444,2.611601
103.188444,4.902840
103.698185,0.320362
104.462797,3.375348
103.698185,-0.188802
105.227409,6.175751
104.717668,-0.443384
105.737150,5.666587
105.482280,-1.207130
106.246892,4.648258
105.992021,0.829527
106.246892,4.139094
107.521245,3.629930
106.501762,3.884512
107.521245,3.375348
107.776115,1.338691
108.285857,4.393676
108.795598,1.847855
108.540727,3.375348
109.305339,1.338691
109.050469,2.357019
110.324822,2.611601
109.560210,3.375348
110.579692,6.175751
109.815080,2.357019
111.344304,5.921169
111.854045,3.375348
111.599175,6.684915
112.873528,4.139094
112.363787,4.648258
112.618657,3.120766
112.618657,2.357019
113.638140,9.485318
113.638140,1.338691
113.893010,10.758229
114.657622,-0.443384
114.657622,8.466990
115.931976,-0.952548
114.912493,8.721572
115.931976,0.320362
116.441717,7.194079
116.441717,1.084109
116.441717,6.430333
116.951458,7.703243
117.461199,5.666587
117.716070,8.466990
118.480682,6.175751
118.225811,9.485318
118.990423,4.902840
118.480682,8.976154
119.755035,5.921169
119.500164,11.012811
119.755035,7.448661
120.264776,9.739900
120.519647,11.267393
121.539129,9.230736
120.774517,11.521975
121.794000,11.776557
121.794000,12.031139
121.794000,10.503647
122.558612,9.485318
123.068353,11.776557
123.323224,10.249065
123.578094,15.086125
124.597577,8.721572
123.578094,16.359035
124.597577,10.249065
124.597577,14.322378
124.852448,9.230736
125.617059,11.521975
125.362189,8.212408
126.126801,15.849871
126.126801,10.249065
127.401154,13.813214
126.381671,14.831542
127.401154,12.031139
127.656024,21.196095
127.910895,15.595289
128.675507,22.469006
128.675507,13.813214
129.185248,20.177767
128.930378,14.831542
130.204731,21.959841
128.675507,17.122781
131.224213,21.196095
130.459601,19.668602
130.714472,21.959841
131.479084,22.723588
131.988825,20.941513
131.733955,19.668602
