0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y
135.811885,27.306066,136.576497,25.778573,133.772920,22.723588,133.772920,22.723588,134.282661,23.741916,133.772920,22.214424
136.321626,23.996498,136.066755,27.306066,135.047273,23.232752,134.282661,22.214424,134.792402,27.560648,134.027790,25.269409
136.576497,29.342723,136.831367,26.542319,133.772920,23.232752,134.792402,18.650274,135.302143,24.760245,134.027790,22.978170
136.831367,28.069812,136.831367,23.996498,134.792402,25.523991,135.302143,24.760245,134.537531,24.760245,134.282661,23.996498
137.341108,30.106469,137.086238,26.033155,135.047273,23.741916,135.047273,22.469006,135.811885,28.324394,134.537531,29.088140
137.341108,32.143126,137.595979,29.851887,135.811885,23.232752,135.811885,28.578976,135.557014,26.542319,135.302143,20.941513
137.850850,31.379379,137.595979,30.106469,136.066755,24.505663,135.811885,21.196095,136.066755,33.416036,134.537531,30.106469
138.105720,36.980186,138.870332,29.088140,136.576497,21.705259,135.811885,26.287737,136.576497,23.487334,136.576497,21.959841
138.615462,29.342723,138.360591,27.560648,135.811885,29.851887,136.831367,23.741916,136.576497,31.124797,135.302143,30.361051
138.615462,36.980186,138.615462,28.324394,137.086238,24.760245,137.086238,28.069812,137.341108,25.778573,136.066755,23.487334
139.125203,29.342723,139.634944,32.143126,136.321626,32.397708,137.595979,31.379379,136.831367,35.198111,136.576497,30.361051
139.380073,37.998514,138.870332,30.870215,137.341108,24.760245,137.086238,27.306066,138.360591,30.615633,136.576497,24.505663
139.889815,32.652290,140.144685,36.980186,137.086238,33.670618,137.850850,28.833558,137.595979,32.397708,136.321626,28.833558
139.889815,37.998514,139.889815,29.597305,138.105720,27.815230,137.086238,25.778573,138.360591,30.361051,136.576497,27.815230
140.654427,35.198111,140.399556,39.526007,137.595979,34.179783,138.870332,33.670618,138.615462,33.925200,137.850850,28.578976
140.654427,35.961857,140.909297,31.633962,139.125203,26.796901,137.850850,27.306066,137.850850,32.397708,136.831367,33.670618
140.909297,37.234768,140.654427,41.053499,138.360591,33.416036,138.360591,32.397708,139.125203,29.851887,138.615462,31.379379
141.673909,37.743932,141.164168,32.397708,139.125203,30.615633,139.125203,26.796901,138.615462,36.980186,137.850850,38.507678
