0_x,0_y
-7.680280,-5.789608
-4.621832,-5.789608
-2.582867,-5.535026
-0.034161,-7.062519
3.024287,-5.535026
5.063252,-8.335429
7.866829,-4.262116
10.415535,-6.807937
12.709371,-4.516698
16.022689,-5.789608
18.316524,-5.025862
20.355489,-5.789608
23.159066,-4.516698
26.217514,-4.771280
28.511350,-6.553355
31.060056,-4.771280
32.589280,-6.044190
36.667210,-4.262116
37.941563,-5.789608
41.509752,-4.007533
43.548717,-3.498369
46.862035,-4.516698
48.391259,-4.007533
52.469189,-4.262116
53.233801,-2.989205
57.311731,-5.789608
59.860437,-4.007533
61.644531,-2.989205
64.448108,-2.989205
66.996815,-2.225459
69.545521,-3.498369
72.603968,-2.225459
74.642934,-3.243787
77.701381,-0.697966
79.995217,-3.498369
82.289052,-0.443384
84.837759,-2.734623
87.896206,1.084109
90.444913,0.829527
92.483878,0.065780
